Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
1500	-79.07619	-84.03366	4.957464	1.517092	0.9599045	0.048266	0.113601	0.0164955	0.1818	0.0652402	0.154591	0.0291526	0.390854
1510	-78.97967	-84.20549	5.225818	1.461026	0.8817929	0.391623	0.0447716	0.051684	0.0196689	0.0453855	0.0627401	0.078957	0.30517
1520	-80.16626	-83.75761	3.591344	1.898281	1.261774	0.117245	0.0909044	0.212862	0.0817718	0.248829	0.0330831	0.0262877	0.189018
1530	-80.52765	-88.19473	7.667081	0.9097103	0.2124771	0.176534	0.0342448	0.0237872	0.0794713	0.119758	0.0748169	0.178265	0.313123
1540	-78.75706	-84.94899	6.191933	1.168007	0.6917539	0.0882522	0.083318	0.0341913	0.191513	0.188338	0.175085	0.146892	0.0924107
1550	-78.9694	-85.086	6.116599	1.37173	0.5256982	0.0826387	0.338729	0.00617948	0.181206	0.0841465	0.0832925	0.179846	0.0439623
1560	-80.02809	-87.12361	7.095513	1.141396	0.2665755	0.0822989	0.372153	0.00964804	0.202801	0.069186	0.0584955	0.0935608	0.111857
1570	-79.74361	-86.16355	6.419945	1.371075	0.3746808	0.0238264	0.107742	0.23965	0.0425949	0.352611	0.0276162	0.172728	0.0332309
1580	-79.27594	-86.03205	6.756115	1.04216	0.5355103	0.316945	0.0414185	0.20665	0.0542458	0.178941	0.0087595	0.0501749	0.142866
1590	-79.38587	-83.76933	4.383468	1.698241	1.065753	0.191804	0.043825	0.0844175	0.101842	0.0606539	0.239375	0.0485263	0.229556
1600	-81.1986	-83.81891	2.620312	2.446482	1.199089	0.105626	0.138464	0.106113	0.125801	0.167418	0.0732376	0.0129003	0.27044
1610	-79.32677	-84.04455	4.717783	1.598998	0.9978382	0.260749	0.158085	0.333697	0.0630812	0.0605481	0.0781879	0.00474455	0.0409071
1620	-80.75032	-83.25536	2.505046	2.341563	1.361642	0.106389	0.037603	0.162296	0.228656	0.144866	0.124166	0.0485164	0.147508
1630	-80.49689	-83.33071	2.833826	2.208815	1.33	0.309622	0.00978347	0.119756	0.0815119	0.091832	0.21808	0.0419004	0.127515
1640	-80.86074	-83.38564	2.524905	2.437441	1.255834	0.0960969	0.00122784	0.00752058	0.0411024	0.037454	0.464909	0.300861	0.0508282
